축제명,연령대,남성비율,여성비율
평창송어축제,70세 이상,3.1,3.0
평창송어축제,60~69세,8.9,7.3
평창송어축제,50~59세,11.9,10.7
평창송어축제,40~49세,10.2,8.7
평창송어축제,30~39세,7.7,7.3
평창송어축제,20~29세,6.4,6.4
평창송어축제,10~19세,3.9,3.1
평창송어축제,0~9세,0.7,0.7
