축제명,연령대,남성비율,여성비율
시흥갯골축제,70세 이상,2.1,1.8
시흥갯골축제,60~69세,6.4,5.2
시흥갯골축제,50~59세,10.1,9.5
시흥갯골축제,40~49세,10.9,9.6
시흥갯골축제,30~39세,10.8,10.7
시흥갯골축제,20~29세,6.2,6.7
시흥갯골축제,10~19세,3.9,4.2
시흥갯골축제,0~9세,1.0,0.9
