기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
광안1동,1.2862248E7,3.6
광안2동,6.9236366E7,19.2
광안3동,2.5235336E7,7.0
광안4동,1.558157E7,4.3
남천1동,5.3771928E7,14.9
남천2동,2.3955648E7,6.6
망미1동,1.9024772E7,5.3
망미2동,2.1307632E7,5.9
민락동,9.1087728E7,25.3
수영동,2.8342436E7,7.9
