축제명,연령대,남성비율,여성비율
수원화성문화제,70세 이상,4.0,3.7
수원화성문화제,60~69세,8.4,7.7
수원화성문화제,50~59세,9.0,9.1
수원화성문화제,40~49세,8.1,7.4
수원화성문화제,30~39세,8.8,8.7
수원화성문화제,20~29세,8.1,11.2
수원화성문화제,10~19세,2.2,2.7
수원화성문화제,0~9세,0.3,0.4
