행정동명,비율(%)
고북면,1.3
대산읍,14.0
동문1동,8.5
동문2동,9.1
부석면,2.8
부춘동,6.7
석남동,12.4
성연면,3.4
수석동,4.4
운산면,2.1
음암면,11.0
인지면,1.6
지곡면,4.8
팔봉면,3.1
해미면,14.9
