기초지자체명,기초지자체 방문자 수,기초지자체 방문자 비율
겸백면,2150902.0,3.4
노동면,1216563.0,1.9
득량면,4951663.0,7.9
문덕면,1719160.0,2.7
미력면,3299579.0,5.2
벌교읍,1.8947549E7,30.1
보성읍,1.2001585E7,19.1
복내면,1294086.0,2.1
웅치면,2017838.0,3.2
율어면,1094999.0,1.7
조성면,3789196.0,6.0
회천면,1.0450954E7,16.6
