대분류,중분류,대분류 지출액 비율,중분류 지출액 비율
쇼핑업,기타관광쇼핑,22.5,97.2
쇼핑업,레저용품쇼핑,22.5,2.8
숙박업,기타숙박,24.7,15.9
숙박업,캠핑장/펜션,24.7,1.4
숙박업,콘도,24.7,36.4
숙박업,호텔,24.7,46.3
식음료업,일반외식업,30.1,92.2
식음료업,제과음료업,30.1,7.8
여가서비스업,골프장,13.7,21.4
여가서비스업,관광유원시설,13.7,31.0
여가서비스업,기타레저,13.7,2.3
여가서비스업,문화서비스,13.7,0.9
여가서비스업,스키장,13.7,44.3
여행업,여행업,0.0,100.0
운송업,렌터카,8.7,0.1
운송업,육상운송,8.7,99.9
의료웰니스업,뷰티,0.3,100.0
